State,State ID,County,County ID,Population,Poverty Rate
AL,01,Monroe,099,21975.0,31.726962457337883
AL,01,Montgomery,101,227392.0,20.66123698283141
AL,01,Morgan,103,119555.0,16.03613399690519
AL,01,Perry,105,9856.0,36.57670454545455
AL,01,Pickens,107,20042.0,22.82706316734857
AL,01,Pike,109,33277.0,24.263004477567087
AL,01,Randolph,111,22615.0,20.08401503426929
AL,01,Russell,113,58636.0,21.186643017941197
AL,01,St. Clair,115,86576.0,13.377841434115691
AL,01,Shelby,117,205951.0,8.364610999703814
AL,01,Sumter,119,13285.0,34.49002634550244
AL,01,Talladega,121,81057.0,19.886006143824716
AL,01,Tallapoosa,123,40958.0,23.02602666145808
AL,01,Tuscaloosa,125,202471.0,17.024660321725086
AL,01,Walker,127,65593.0,21.60901315689174
AL,01,Washington,129,16909.0,21.20172689100479
AL,01,Wilcox,131,11119.0,33.88793956291033
AL,01,Winston,133,24013.0,20.126598092699787
AK,02,Aleutians East,013,3299.0,15.459230069718096
AK,02,Aleutians West,016,5714.0,7.455372768638432
AK,02,Anchorage,020,299321.0,7.901884598808637
AK,02,Bethel,050,17885.0,25.826111266424377
AK,02,Bristol Bay,060,942.0,7.112526539278131
AK,02,Denali,068,2125.0,10.964705882352941
AK,02,Dillingham,070,4980.0,16.365461847389557
AK,02,Fairbanks North Star,090,100150.0,7.432850723914129
AK,02,Haines,100,2528.0,5.2215189873417724
AK,02,Hoonah-Angoon,105,2107.0,12.339819648789748
AK,02,Juneau City and,110,32524.0,7.271553314475464
AK,02,Kenai Peninsula,122,57637.0,10.713604108471989
AK,02,Ketchikan Gateway,130,13715.0,10.594239883339409
AK,02,Kodiak Island,150,13918.0,8.959620635148728
AK,02,Kusilvak,158,7993.0,35.80633053922182
AK,02,Lake and Peninsula,164,1411.0,18.6392629340893
AK,02,Matanuska-Susitna,170,98679.0,9.475166955481916
AK,02,Nome,180,9879.0,26.24759591051726
AK,02,North Slope,185,9681.0,11.05257721309782
AK,02,Northwest Arctic,188,7723.0,24.26518192412275
AK,02,Petersburg,195,3196.0,9.198998748435544
AK,02,Prince of Wales-Hyder,198,6374.0,14.716033887668655
AK,02,Sitka City and,220,8921.0,8.922766505997085
AK,02,Skagway,230,1014.0,5.226824457593688
AK,02,Southeast Fairbanks,240,6970.0,13.500717360114777
AK,02,Valdez-Cordova,261,9522.0,8.42260029405587
AK,02,Wrangell City and,275,2401.0,9.870887130362348
AK,02,Yakutat City and,282,646.0,7.894736842105263
AK,02,Yukon-Koyukuk,290,5600.0,23.285714285714285
AZ,04,Apache,001,72346.0,35.465678821220244
AZ,04,Cochise,003,128177.0,17.307317225399252
AZ,04,Coconino,005,138064.0,20.420239888747247
AZ,04,Gila,007,53179.0,20.867259632561726
