id,Geographic Area Name,Total_population_18_24,Total_18_24_lt_high_school,Total_18_24_high_school_diploma,Total_18_24_associate_degree,Total_18_24_bachelor,Total_population_25_and_over,Total_population_25_lt_9th,Total_25_9_12_no_diploma,Total_25_high_School,Total_population_25_college_no_degree,Total_population_25_associate_degree,Total_population_25 _bachelor,Total_population_25_graduate,Total_25_over_High_school,Total_population_25years_and_over_Bachelor,Total_population_25_34,Total_25_34_High_school,Total_25_34_Bachelor_higher,Total_population_35_44,Total_35_44_high_school_graduate,Total_35_44_bachelor_degree,Total_population_45_64_years,Total_45_64_high_school,Total_45_64_bachelor_degree,Total_population_65_years_over,Total_65_high_school,Total_65_bachelor_degree
310M400US47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",190519,15433,62582,96222,16282,1148499,30473,71651,286844,287979,109731,221074,140747,1046375,361821,265989,248393,81173,209466,195279,73110,435085,398700,137313,237959,204003,70225
310M400US47300,"Visalia-Porterville, CA Metro Area",47876,8201,16333,21971,1371,269073,50901,30444,69974,58870,20391,25710,12783,187728,38493,64943,50955,8909,57243,38990,8047,96496,64286,14230,50391,33497,7307
310M400US47340,"Wabash, IN Micro Area",3258,453,1231,1358,216,21712,680,1859,9222,4069,1885,2294,1703,19173,3997,3336,3047,618,3539,3125,734,8525,7660,1236,6312,5341,1409
310M400US47380,"Waco, TX Metro Area",38259,4045,11595,19203,3416,162069,10494,15844,45942,36964,15780,24192,12853,135731,37045,34422,29586,7854,29918,25052,7224,60306,50328,13276,37423,30765,8691
310M400US47420,"Wahpeton, ND-MN Micro Area",2694,168,684,1713,129,15085,533,733,4250,3139,3087,2581,762,13819,3343,2464,2283,661,2373,2206,597,6313,6002,1304,3935,3328,781
310M400US47460,"Walla Walla, WA Metro Area",8110,739,2251,4662,458,42457,2493,2559,8832,11087,5469,7440,4577,37405,12017,8038,7202,1948,7096,5975,1963,15906,14045,4517,11417,10183,3589
310M400US47540,"Wapakoneta, OH Micro Area",3739,503,1514,1449,273,30920,440,1670,13513,6014,3441,3693,2149,28810,5842,5044,4918,1203,5195,5013,1397,12735,11929,2227,7946,6950,1015
310M400US47580,"Warner Robins, GA Metro Area",18512,2338,5734,9055,1385,124645,4230,9218,35079,32213,12490,18614,12801,111197,31415,27447,25131,6481,24207,21749,6947,48294,43851,12936,24697,20466,5051
310M400US47620,"Warren, PA Micro Area",2909,413,1435,768,293,29308,488,1690,13505,4979,3002,3794,1850,27130,5644,4067,3792,1083,4206,3988,1034,12328,11671,2249,8707,7679,1278
310M400US47660,"Warrensburg, MO Micro Area",11076,441,2847,6823,965,31014,807,1671,9392,7521,2815,5194,3614,28536,8808,7539,7155,2359,5504,5244,2092,11547,10418,2977,6424,5719,1380
